,title,desc
1_1,Feedback Prize - Evaluating Student Writing,Analyze argumentative writing elements from students grade 6-12  
1_2,Tabular Playground Series - Dec 2021,Practice your ML skills on this approachable dataset! 
1_3,TensorFlow - Help Protect the Great Barrier Reef ,Detect crown-of-thorns starfish in underwater image data 
1_4,Santa 2021 - The Merry Movie Montage,Optimize television programming for the winter season 
1_5,Jigsaw Rate Severity of Toxic Comments   ,Rank relative ratings of toxicity between comments 
1_6,G-Research Crypto Forecasting ,Use your ML expertise to predict real crypto market data 
1_7,Tabular Playground Series - Nov 2021,Practice your ML skills on this approachable dataset! 
1_8,Sartorius - Cell Instance Segmentation,Detect single neuronal cells in microscopy images 
1_9,2021 Kaggle Machine Learning & Data Science Survey,The most comprehensive dataset available on the state of ML and data science 
1_10,Store Sales - Time Series Forecasting,Use machine learning to predict grocery sales 
1_11,Tabular Playground Series - Oct 2021,Practice your ML skills on this approachable dataset! 
1_12,NFL Big Data Bowl 2022,Help evaluate special teams performance 
1_13,PetFinder.my - Pawpularity Contest,Predict the popularity of shelter pet photos 
1_14,Google Brain - Ventilator Pressure Prediction,"Simulate a ventilator connected to a sedated patient's lung
 "
1_15,Wikipedia - Image/Caption Matching,Retrieve captions based on images 
1_16,Tabular Playground Series - Sep 2021,Practice your ML skills on this approachable dataset! 
1_17,Lux AI,Gather the most resources and survive the night! 
1_18,chaii - Hindi and Tamil Question Answering,Identify the answer to questions found in Indian language passages 
1_19,Google Landmark Retrieval 2021,"Given an image, can you find all of the same landmarks in a dataset? "
1_20,Google Landmark Recognition 2021,"Label famous, and not-so-famous, landmarks in images "
2_1,NFL Health & Safety - Helmet Assignment,Segment and label helmets in video footage 
2_2,LearnPlatform COVID-19 Impact on Digital Learning,Use digital learning data to analyze the impact of COVID-19 on student learning 
2_3,Tabular Playground Series - Aug 2021,Practice your ML skills on this approachable dataset! 
2_4,RSNA-MICCAI Brain Tumor Radiogenomic Classification,Predict the status of a genetic biomarker important for brain cancer treatment 
